Species	Category	Count	Coverage	Coverage_percent
Rfarinipes	DNA	871	682015	1.749
Rfarinipes	LINE	291	360841	.925
Rfarinipes	LTR	4126	10489415	26.905
Rfarinipes	PLE	11	3668	.009
Rfarinipes	RC	237	212778	.545
Rfarinipes	Retroposon	0	0	0
Rfarinipes	SINE	10	1714	.004
Rfarinipes	Uncertain	71	10681	.027
Rfarinipes	Unknown	8584	7186146	18.432
Rirregularis	DNA	15007	14379810	9.797
Rirregularis	LINE	5284	6182285	4.212
Rirregularis	LTR	3002	4086151	2.783
Rirregularis	PLE	2	246	0
Rirregularis	RC	896	960574	.654
Rirregularis	Retroposon	0	0	0
Rirregularis	SINE	15	1889	.001
Rirregularis	Uncertain	2869	462715	.315
Rirregularis	Unknown	79390	41809530	28.485
Rkalkhoffii	DNA	202	58992	.237
Rkalkhoffii	LINE	254	360476	1.453
Rkalkhoffii	LTR	221	72957	.294
Rkalkhoffii	PLE	13	1770	.007
Rkalkhoffii	RC	61	22119	.089
Rkalkhoffii	Retroposon	3	756	.003
Rkalkhoffii	SINE	43	6531	.026
Rkalkhoffii	Uncertain	465	68950	.277
Rkalkhoffii	Unknown	1640	386932	1.559
Rnigricans	DNA	1134	855182	1.899
Rnigricans	LINE	759	566820	1.259
Rnigricans	LTR	5720	13699079	30.434
Rnigricans	PLE	27	6640	.014
Rnigricans	RC	175	112119	.249
Rnigricans	Retroposon	0	0	0
Rnigricans	SINE	20	4199	.009
Rnigricans	Uncertain	86	13570	.030
Rnigricans	Unknown	11100	8033642	17.848
Rolivacea	DNA	1971	1659689	4.329
Rolivacea	LINE	320	297132	.775
Rolivacea	LTR	2532	3457846	9.020
Rolivacea	PLE	22	6349	.016
Rolivacea	RC	288	340743	.888
Rolivacea	Retroposon	0	0	0
Rolivacea	SINE	20	3919	.010
Rolivacea	Uncertain	103	15326	.039
Rolivacea	Unknown	12245	9720854	25.357
Rtricholoma	DNA	2212	3830682	6.587
Rtricholoma	LINE	445	692390	1.190
Rtricholoma	LTR	6404	12900250	22.183
Rtricholoma	PLE	22	5339	.009
